30
Mark | Sam
Fontenot | Kevin
Kevin | Chow
Chow | Cameron
Amanda | Ashley
Ashley | Sam
Amanda | Luke
Max | Sasha
Sasha | Fontenot
Ashwin | Kevin
Sammy | Ashwin
Venkhat | Noah
Noah | Chow
Cameron | Sam
Ashwin | Cameron
Ashley | Ashwin
Will | Noah
Noah | Amanda
Chow | Sam
Amanda | Venkhat
Venkhat | Fontenot
Sasha | Fontenot
Max | Chow
Chow | Sammy
Sammy | Fontenot
Sammy | Amanda
Will | Chow
Max | Sammy
Amanda | Will
Brooke | Bob
5
Ashley | Sam
Venkhat | Chow
Amanda | Max
Fontenot | Ashwin
Will | Brooke
